Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_RegressionTest_With TestOps Vision,Chrome 100.0.4896.75,,,2022-04-07 13:52:41,2022-04-07 13:58:14,5m - 32.781s,FAILED
,,,,,,,
Test Cases/Main Test Cases/TC1_Verify Successful Login_With TestOps Vision,Chrome 100.0.4896.75,"Verify if users can login successful. 

Steps:
- Click on 'Book Appointment' button to login
- Input username and password
- Click on 'Login' button

Expected result:
'Appointment' section is displayed after successful login",,2022-04-07 13:52:45,2022-04-07 13:57:53,5m - 8.355s,FAILED
"comment(""Story: Login to CURA system"")",Chrome 100.0.4896.75,,,2022-04-07 13:52:53,2022-04-07 13:52:54,1.190s,PASSED
"comment(""Given that the user has the valid login information"")",Chrome 100.0.4896.75,,,2022-04-07 13:52:54,2022-04-07 13:52:54,0.161s,PASSED
openBrowser(G_SiteURL),Chrome 100.0.4896.75,,,2022-04-07 13:52:54,2022-04-07 13:57:46,4m - 51.751s,FAILED
Start listener action : terminateRunningWebDrivers,Chrome 100.0.4896.75,,,2022-04-07 13:57:46,2022-04-07 13:57:47,0.705s,PASSED
Video,Chrome 100.0.4896.75,,,2022-04-07 13:57:53,2022-04-07 13:57:53,0.005s,PASSED
,,,,,,,
Test Cases/Main Test Cases/TC2_Verify Successful Appointment_With TestOps Vision,Chrome 100.0.4896.75,"Verify if users can book an appointment sucessfully.
Pre-condition: Users have already logged in

Steps:
- Fill in appoinment's information
- Click on appointment's button

Expected results:
Appointment Confirmation page is displayed",,2022-04-07 13:57:53,2022-04-07 13:58:14,20.747s,FAILED
"comment(""Story: Book an appointment"")",Chrome 100.0.4896.75,,,2022-04-07 13:58:07,2022-04-07 13:58:07,0.033s,PASSED
"comment(""Given that the user has logged into their account"")",Chrome 100.0.4896.75,,,2022-04-07 13:58:07,2022-04-07 13:58:07,0.017s,PASSED
openBrowser(G_SiteURL),Chrome 100.0.4896.75,,,2022-04-07 13:58:07,2022-04-07 13:58:12,4.897s,FAILED
Start listener action : terminateRunningWebDrivers,Chrome 100.0.4896.75,,,2022-04-07 13:58:12,2022-04-07 13:58:12,0.170s,PASSED
Video,Chrome 100.0.4896.75,,,2022-04-07 13:58:14,2022-04-07 13:58:14,0.002s,PASSED
